Subject	Activity	TimeBodyAcceleration,mean value,X	TimeBodyAcceleration,mean value,Y	TimeBodyAcceleration,mean value,Z	TimeBodyAcceleration,standard deviation value,X	TimeBodyAcceleration,standard deviation value,Y	TimeBodyAcceleration,standard deviation value,Z	TimeGravityAcceleration,mean value,X	TimeGravityAcceleration,mean value,Y	TimeGravityAcceleration,mean value,Z	TimeGravityAcceleration,standard deviation value,X	TimeGravityAcceleration,standard deviation value,Y	TimeGravityAcceleration,standard deviation value,Z	TimeBodyacceleration jerk,mean value,X	TimeBodyacceleration jerk,mean value,Y	TimeBodyacceleration jerk,mean value,Z	TimeBodyacceleration jerk,standard deviation value,X	TimeBodyacceleration jerk,standard deviation value,Y	TimeBodyacceleration jerk,standard deviation value,Z	TimeBodyangular velocity,mean value,X	TimeBodyangular velocity,mean value,Y	TimeBodyangular velocity,mean value,Z	TimeBodyangular velocity,standard deviation value,X	TimeBodyangular velocity,standard deviation value,Y	TimeBodyangular velocity,standard deviation value,Z	TimeBodyangular velocity jerk,mean value,X	TimeBodyangular velocity jerk,mean value,Y	TimeBodyangular velocity jerk,mean value,Z	TimeBodyangular velocity jerk,standard deviation value,X	TimeBodyangular velocity jerk,standard deviation value,Y	TimeBodyangular velocity jerk,standard deviation value,Z	TimeBodyAccelerationMagnitude,mean value	TimeBodyAccelerationMagnitude,standard deviation value	TimeGravityAccelerationMagnitude,mean value	TimeGravityAccelerationMagnitude,standard deviation value	TimeBodyacceleration jerkMagnitude,mean value	TimeBodyacceleration jerkMagnitude,standard deviation value	TimeBodyangular velocityMagnitude,mean value	TimeBodyangular velocityMagnitude,standard deviation value	TimeBodyangular velocity jerkMagnitude,mean value	TimeBodyangular velocity jerkMagnitude,standard deviation value	FrequencyBodyAcceleration,mean value,X	FrequencyBodyAcceleration,mean value,Y	FrequencyBodyAcceleration,mean value,Z	FrequencyBodyAcceleration,standard deviation value,X	FrequencyBodyAcceleration,standard deviation value,Y	FrequencyBodyAcceleration,standard deviation value,Z	FrequencyBodyAcceleration,meanFreq(),X	FrequencyBodyAcceleration,meanFreq(),Y	FrequencyBodyAcceleration,meanFreq(),Z	FrequencyBodyacceleration jerk,mean value,X	FrequencyBodyacceleration jerk,mean value,Y	FrequencyBodyacceleration jerk,mean value,Z	FrequencyBodyacceleration jerk,standard deviation value,X	FrequencyBodyacceleration jerk,standard deviation value,Y	FrequencyBodyacceleration jerk,standard deviation value,Z	FrequencyBodyacceleration jerk,meanFreq(),X	FrequencyBodyacceleration jerk,meanFreq(),Y	FrequencyBodyacceleration jerk,meanFreq(),Z	FrequencyBodyangular velocity,mean value,X	FrequencyBodyangular velocity,mean value,Y	FrequencyBodyangular velocity,mean value,Z	FrequencyBodyangular velocity,standard deviation value,X	FrequencyBodyangular velocity,standard deviation value,Y	FrequencyBodyangular velocity,standard deviation value,Z	FrequencyBodyangular velocity,meanFreq(),X	FrequencyBodyangular velocity,meanFreq(),Y	FrequencyBodyangular velocity,meanFreq(),Z	FrequencyBodyAccelerationMagnitude,mean value	FrequencyBodyAccelerationMagnitude,standard deviation value	FrequencyBodyAccelerationMagnitude,meanFreq()	FrequencyBodyBodyacceleration jerkMagnitude,mean value	FrequencyBodyBodyacceleration jerkMagnitude,standard deviation value	FrequencyBodyBodyacceleration jerkMagnitude,meanFreq()	FrequencyBodyBodyangular velocityMagnitude,mean value	FrequencyBodyBodyangular velocityMagnitude,standard deviation value	FrequencyBodyBodyangular velocityMagnitude,meanFreq()	FrequencyBodyBodyangular velocity jerkMagnitude,mean value	FrequencyBodyBodyangular velocity jerkMagnitude,standard deviation value	FrequencyBodyBodyangular velocity jerkMagnitude,meanFreq()
1	WALKING	0.2773307587368421	-0.017383818527368422	-0.11114810354736843	-0.28374025884210524	0.11446133674736841	-0.2600279022105263	0.9352232014736842	-0.2821650212631579	-0.068102864	-0.9766096425263158	-0.9713059614736843	-0.9477172261052631	0.07404163331578947	0.028272109588421048	-0.004168406177894738	-0.11361560243578948	0.06700250076842106	-0.5026997885263158	-0.041830963526	-0.06953004621157895	0.08494481730421052	-0.4735354858947369	-0.05460776865947368	-0.34426662947368425	-0.08999754237052632	-0.03984287094631579	-0.04613092950210526	-0.20742185475789474	-0.3044685106315789	-0.40425545263157897	-0.1369711765568421	-0.21968864563157894	-0.1369711765568421	-0.21968864563157894	-0.14142880903157895	-0.07447175006252632	-0.16097955253684212	-0.18697836452631578	-0.2987036790842105	-0.3253248788947368	-0.20279430632631582	0.08971272640210526	-0.3315601177894737	-0.3191347195789474	0.056040006846	-0.2796867514947368	-0.20754837449473681	0.1130936461031579	0.04972651961726316	-0.17054696454957896	-0.03522552411306316	-0.46899922463157895	-0.1335866063263158	0.106739857136	-0.5347134404210526	-0.2092619733768421	-0.3862371432105263	-0.1855302812442105	-0.33903219711578947	-0.10305941643473684	-0.25594094031578946	-0.5166919387368422	-0.03350815978842105	-0.43656222747368423	0.014784498662105263	-0.06577461900105262	0.0007733215643157904	-0.12862345062947367	-0.3980325868421053	0.1906437244	-0.05711940003431579	-0.10349240300210527	0.09382218070273683	-0.19925256898631577	-0.32101795389473686	0.26884436752589475	-0.3193085937789474	-0.3816019117894737	0.19066344879368421
1	WALKING_UPSTAIRS	0.2554616896226415	-0.023953149264339623	-0.09730200209433963	-0.35470802509433963	-0.0023202650169811324	-0.01947923884716981	0.8933510975471698	-0.36215336433962264	-0.07540293975471699	-0.9563670279245282	-0.9528492332075471	-0.9123794103773585	0.10137272992264151	0.019486307618867927	-0.04556254491132076	-0.44684388773584904	-0.37827442603773587	-0.7065935309433963	0.05054937975471698	-0.16617001508867926	0.05835954639811321	-0.5448711045283019	0.0041051837981132076	-0.5071686749056604	-0.12223276801132076	-0.042148588450943394	-0.0407125527654717	-0.614786508490566	-0.6016966562264151	-0.606332002264151	-0.12992763073584906	-0.32497092924528304	-0.12992763073584906	-0.32497092924528304	-0.46650344622641504	-0.4789916220754717	-0.12673558996981132	-0.14861931805283018	-0.5948828650943396	-0.6485530443396227	-0.4043217841509434	-0.19097672081132075	-0.4333497020754717	-0.33742818867924534	0.021769510656603774	0.08595655438490565	-0.4187350003773585	-0.16069721351698113	-0.5201147935849056	-0.4798752456603773	-0.4134445875471698	-0.6854743539622641	-0.4619070258490566	-0.3817770652830189	-0.726040200754717	-0.3770231283018868	-0.5094955316981132	-0.5511042841509435	-0.4926116679245283	-0.31947460905660374	-0.45359721301886796	-0.5658924907547169	0.15153890556603775	-0.57170784	-0.18745024773773586	-0.4735747866037736	-0.13337390425849058	-0.35239594471698116	-0.41626010150943393	-0.09774334964150942	-0.4426521624528302	-0.5330598537735849	0.08535240915471698	-0.32596145739622645	-0.18298551826415096	-0.21930337611056605	-0.6346650820754717	-0.6939305215094339	0.11427734245471698
1	WALKING_DOWNSTAIRS	0.2891883204081633	-0.009918504610204082	-0.10756619090816327	0.030035338348387754	-0.03193594344897959	-0.2304342132040816	0.9318744189795918	-0.26661033897959185	-0.062119958593877554	-0.950559811632653	-0.9370186589795919	-0.8959396951020409	0.05415531648979593	0.029650449040816332	-0.010971973018367349	-0.01228386054489796	-0.10160139064081632	-0.34573503232653063	-0.03507819029897959	-0.09093712902040815	0.09008501420306124	-0.4580305429387755	-0.12634919493877553	-0.12470245424285716	-0.07395920362714287	-0.043990278336734696	-0.027046106106122448	-0.48702734224489796	-0.23882482753061227	-0.2687614802428571	0.027188291410612242	0.01988435062653061	0.027188291410612242	0.01988435062653061	-0.0894474807979592	-0.025787719708163265	-0.07574125436734694	-0.22572436806122448	-0.29546384334693876	-0.30651064553061225	0.03822918315102041	0.0015499078359183674	-0.22557447169387754	0.024330839138775512	-0.11296373995306123	-0.29792789469387754	-0.3073951986877551	0.06322008393469387	0.29432270081061224	-0.0276638676122449	-0.1286671576489796	-0.2883347357142857	-0.08632789664020409	-0.13458000887755103	-0.4017214642857143	-0.2531643449183673	-0.33758970122448984	0.009372238891836734	-0.3524496313632653	-0.05570225246938776	-0.03186942719795919	-0.49542248610204076	-0.18141472865714287	-0.23844356530612246	-0.10045372904081631	0.08255114871836734	-0.07567620677142857	0.09658453430408163	-0.18653030107346938	0.11918714276795919	0.026218494932653064	-0.10405226072653062	0.07649154743265306	-0.18572028574489796	-0.398350390122449	0.3496138954693877	-0.28196335917755105	-0.39191987661224487	0.19000070616510203
1	SITTING	0.2612375654255319	-0.0013082876517021282	-0.10454418225531914	-0.9772290082978723	-0.9226186419148936	-0.9395862910638298	0.8315099334042553	0.20441159268085105	0.3320437027659574	-0.9684571457446809	-0.9355170559574467	-0.9490409331914893	0.0774825199574468	-0.0006191027851063838	-0.003367792350212767	-0.9864307112765958	-0.9813719653191489	-0.9879108044680851	-0.045350056512765954	-0.09192415493617022	0.06293138119148936	-0.9772112831914893	-0.966473895319149	-0.9414259208510638	-0.09367938072340425	-0.040211812425531915	-0.046702627000000003	-0.9917315921276596	-0.9895180685106383	-0.9879358063829787	-0.9485367861702126	-0.9270784187234042	-0.9485367861702126	-0.9270784187234042	-0.987364195531915	-0.9841200240425532	-0.9308924900000001	-0.934531840425532	-0.9919763412765957	-0.9883087285106383	-0.9796412387234044	-0.9440845504255319	-0.9591848891489362	-0.9764123131914894	-0.9172750063829788	-0.9344695580851065	-0.04951359754893617	0.07594607685106383	0.23882987014893617	-0.9865970225531915	-0.9815794670212766	-0.9860530923404256	-0.9874929944680851	-0.982513909574468	-0.9883391848936169	0.2566108235680851	0.047543783959574475	0.09239200325531914	-0.9761614640425532	-0.9758385853191489	-0.9513155444680851	-0.9779042270212766	-0.9623450425531915	-0.9439178410638297	0.18915302126085107	0.0631270669787234	-0.02978392074468085	-0.9477829225531915	-0.9284448017021276	0.23665501168085107	-0.9852621268085107	-0.9816061774468084	0.3518522019574469	-0.9584355893617021	-0.932198374893617	-0.00026218671702127566	-0.9897975472340426	-0.9870496172340425	0.1847759280851064
1	STANDING	0.2789176290566038	-0.016137590103773584	-0.11060181773584907	-0.9957599015094339	-0.9731900564150944	-0.9797758769811321	0.9429520003773585	-0.27298383226415096	0.01349058232264151	-0.9937629850943397	-0.9812259579245284	-0.9763240635849056	0.0753766542264151	0.007975730928301887	-0.0036852495470943393	-0.994604542264151	-0.9856487324528302	-0.9922511773584906	-0.02398773479792453	-0.05939722098113208	0.074800751	-0.9871919466037736	-0.98773444	-0.980645626981132	-0.09960921290566037	-0.04406278779245283	-0.04895054667169811	-0.9929451069811321	-0.9951379173584906	-0.9921084671698113	-0.9842782073584905	-0.9819429288679246	-0.9842782073584905	-0.9819429288679246	-0.9923677905660376	-0.9930962094339623	-0.9764937928301887	-0.9786900286792453	-0.9949667905660378	-0.9947332386792453	-0.9952499326415095	-0.9770708477358491	-0.9852970986792453	-0.9960283450943397	-0.9722931020754717	-0.9779372596226416	0.08651536190886792	0.11747894871886794	0.24485858579245282	-0.9946307973584906	-0.9854187045283018	-0.9907521660377359	-0.995073759245283	-0.9870182267924529	-0.9923498181132074	0.3141829401509434	0.03916189549433962	0.1385814787490566	-0.9863867860377359	-0.9889844558490566	-0.9807731228301887	-0.9874971286792452	-0.9871077277358491	-0.98234533	-0.12029302060377359	-0.04471919781698114	0.10060763513962265	-0.9853563611320755	-0.9823138047169812	0.2845552907735849	-0.9925424775471697	-0.9925360033962264	0.4222201022641509	-0.9846176233962265	-0.9784660720754716	-0.028605772532830188	-0.9948153769811322	-0.9946711232075471	0.33449873430188676
1	LAYING	0.22159824394000002	-0.0405139534294	-0.11320355358	-0.9280564692	-0.83682740562	-0.826061401628	-0.24888179827999998	0.70554977346	0.4458177198	-0.8968300184	-0.9077200067600001	-0.85236629022	0.08108653419999999	0.0038382040088000002	0.010834236361	-0.958482112	-0.9241492736000001	-0.9548551108	-0.016553093978	-0.064486124088	0.14868943626	-0.87354386782	-0.9510904402	-0.9082846626	-0.107270949192	-0.04151728689	-0.0740501211	-0.9186085208	-0.9679072436	-0.9577901595999999	-0.8419291525	-0.79514486386	-0.8419291525	-0.79514486386	-0.9543962646	-0.9282456284	-0.874759548	-0.81901016976	-0.9634610299999999	-0.9358409828	-0.9390990524	-0.8670652051800001	-0.8826668762	-0.9244374346	-0.8336255561	-0.81289155944	-0.158792670508	0.097534841586	0.08943765522	-0.9570738838	-0.9224626098	-0.9480609042	-0.9641607086	-0.9322178703999999	-0.9605869871999999	0.132419092398	0.024513618956000002	0.02438794528	-0.850249174586	-0.9521914948	-0.909302721	-0.8822964508	-0.9512320494	-0.9165825082000001	-0.0035467958559999963	-0.091529130882	0.010458125660000005	-0.8617676481	-0.7983009404000001	0.08640856294	-0.9333003608	-0.9218039756	0.26639115416	-0.8621901853999999	-0.82431943968	-0.1397750127	-0.9423669466	-0.9326606676	0.17648590708
2	WALKING	0.27642658644067797	-0.018594919914576274	-0.1055003579661017	-0.4236428384745763	-0.0780912533118644	-0.42525752491525426	0.9130173333898305	-0.34660709	0.08472708711864406	-0.9726932013559322	-0.972116879661017	-0.9720728476271187	0.06180806962796611	0.018249267928813557	0.007895337066101694	-0.27753046262033904	-0.01660223628474576	-0.5860904189830508	-0.05302581573474576	-0.04823823169491526	0.0828336633220339	-0.5615502557627119	-0.5384536677966102	-0.4810855350847457	-0.08188334291525423	-0.05382994490677966	-0.051493915683050846	-0.3895498315254237	-0.634140436101695	-0.43549267728813557	-0.29040759372881353	-0.4225441693220339	-0.29040759372881353	-0.4225441693220339	-0.28142415388135594	-0.16415098512711865	-0.4465490928813559	-0.5530199162711864	-0.547911950338983	-0.5577981513559322	-0.3460481610169492	-0.02190481033220339	-0.4538063698305085	-0.45765138372881353	-0.16921968620338984	-0.45522214644067793	-0.14579548970338982	0.19858646650847456	0.06889952081864407	-0.3046153228813559	-0.07876408366101695	-0.554956709661017	-0.31431306340677967	-0.01533295200847458	-0.6158981884745762	-0.07271015844796609	-0.2635740181864407	-0.2548464387559322	-0.42971353610169494	-0.5547721122033897	-0.39665990745762714	-0.6040530191525424	-0.5330469525423729	-0.5598566350847458	0.007279679884745763	-0.04270093223728814	0.13975211526949152	-0.32428942793220333	-0.5771052116949152	0.39320620830508474	-0.1690643528135593	-0.16409196944915255	0.20750092670338982	-0.5307048147457627	-0.651792839661017	0.3052838252542373	-0.5832492933898306	-0.5581045547457628	0.12634461443949152
2	WALKING_UPSTAIRS	0.2471647903958333	-0.021412113204583333	-0.15251389952083333	-0.30437640645833336	0.10802727988958333	-0.11212102122083334	0.7907174185416667	-0.41621489041666665	-0.19588823889166665	-0.9344077397916667	-0.92376745375	-0.878004056875	0.07445078395729167	-0.009709855143333331	0.019481439250000003	-0.27612188647916663	-0.18564895422083336	-0.5737463525000001	-0.057691263458333336	-0.032088309739583334	0.06883740216666666	-0.4392530589583334	-0.46629833666666665	-0.16399579167916667	-0.08288580013333334	-0.04240537084583334	-0.0445157481625	-0.464854363125	-0.6454913377083333	-0.4675959610416667	-0.10732267952083334	-0.20597704529583336	-0.10732267952083334	-0.20597704529583336	-0.32126891104166666	-0.21738939458124998	-0.21971347295833332	-0.3775321676041667	-0.5728164385416666	-0.5972917191666667	-0.26672093327083335	0.009924458818541664	-0.28100198620208333	-0.320582414375	0.08488027910833333	-0.09454497643125	-0.28174801141666667	-0.06188944589583333	-0.23658909231695832	-0.25863943972916664	-0.1878421317125	-0.5227280633333333	-0.3654154414583333	-0.24355414666666667	-0.6250909814583333	-0.04911429235416667	-0.287688885375	-0.3742184847916667	-0.33164357745833334	-0.48808612395833334	-0.24860112199999998	-0.476358845625	-0.4597584889583333	-0.21807247147916667	-0.11532443373333334	-0.130357850675	-0.07734181172916667	-0.14531853915625	-0.36672824374999996	0.10768039522916667	-0.18951113690208332	-0.2604238389625	-0.011916823358333333	-0.45061218479166665	-0.438620401875	-0.022752769044375	-0.60079849625	-0.6218202029166667	0.046743399104166666
2	WALKING_DOWNSTAIRS	0.2776153480638298	-0.02266141583617021	-0.11681294238297872	0.04636668144468085	0.26288178895106384	-0.1028379080638298	0.8618313455319149	-0.3257801006382979	-0.043889016272340424	-0.9403617595744681	-0.9400685255319149	-0.9314383131914894	0.11004061556957447	-0.0032795908148936185	-0.020935167776595747	0.14724914323829788	0.1268280145574468	-0.3401220231914894	-0.11594735287234043	-0.004823292319148937	0.09717380890638297	-0.3207892300085106	-0.415739144893617	-0.2794183880425532	-0.05810384985106383	-0.04214702575319149	-0.0710229816893617	-0.2439405925531915	-0.46939670110638293	-0.21826631860638296	0.08995112049787234	0.21558633488936169	0.08995112049787234	0.21558633488936169	0.005655163351063828	0.22961718512765955	-0.16218858693042554	-0.27484411053191493	-0.41087267148936174	-0.3431878754042553	0.11284116032553192	0.2783450417659575	-0.131290772	0.016104619859574464	0.17197397295744682	-0.16203289428723405	-0.2737116096595745	0.01193096064680851	0.09036785465042553	0.13812068108723405	0.09620916076170213	-0.271498721106383	0.049959062482978725	0.08083334912765958	-0.40822742319148936	-0.1438981495319149	-0.35751450174468086	-0.2347039324468085	-0.14577597040638296	-0.361913824	-0.08749447360851063	-0.37943667436170214	-0.4587327474468085	-0.422987665106383	-0.03752980231914893	0.07708945572340425	0.1367749584	0.2934248265914894	-0.02147878817234043	0.09383212976170212	0.22224740957659575	0.2274807325425532	0.01883551114042553	-0.32083854355319147	-0.37257675536170215	0.10397124170638297	-0.3801753064893617	-0.34369898542553196	-0.05124796405531915
2	SITTING	0.27708735173913046	-0.01568799372826087	-0.10921827245652174	-0.9868222795652174	-0.9507044991304348	-0.9598281717391304	0.9404772730434783	-0.10563002449878262	0.1987267687608696	-0.9799887608695651	-0.9567502730434783	-0.9544158730434783	0.0722564387173913	0.011695451132391305	0.0076054692986956525	-0.9880558541304347	-0.9779839554347826	-0.9875182117391305	-0.04547066204347826	-0.05992867970434782	0.04122774621739131	-0.985742027826087	-0.9789195269565217	-0.9598037086956522	-0.0936328412826087	-0.04156020291304348	-0.043585096649999995	-0.9897090230434782	-0.9908896147826087	-0.9855423256521739	-0.9678936239130435	-0.9530814441304348	-0.9678936239130435	-0.9530814441304348	-0.9867747130434783	-0.9844758680434783	-0.946035087173913	-0.9613136241304348	-0.9910814939130436	-0.9895949195652173	-0.985803840652174	-0.957343498478261	-0.9701621726086956	-0.9873620899999999	-0.9500737541304348	-0.9568628641304349	0.08519282071	0.15019395616304348	0.09606467595869565	-0.9878487936956521	-0.9771397028260869	-0.9851290502173913	-0.9894591073913044	-0.9808042284782609	-0.9885708041304347	0.3055468180847826	0.026244864713478262	0.09290306303695653	-0.9826213895652174	-0.9821009236956522	-0.9598148223913043	-0.9868085015217392	-0.9773561886956522	-0.9635226597826086	0.13052312089130436	-0.19214273791304345	0.04094723486760869	-0.9612737482608695	-0.955575602173913	0.13093420285434784	-0.9838746989130435	-0.9841241858695653	0.28006242395652176	-0.9718405960869565	-0.9613857452173913	-0.10635890917391304	-0.9898619508695653	-0.9896329089130435	0.1947221493
