Unnamed: 0,Address,tinh,tinh_cat,qh,qh_cat,px,px_cat,duong,Address_ch,street,ward,district,province,normalized_address
0,"mizuki , khu đô thị liền kề",,,,,,,,mizuki khu đô thị liền kề,mizuki khu đô thị liền kề,,,,mizuki khu đô thị liền kề
1,him lam phú an,,,,,,,,him lam phú an,him lam phú an,,,,him lam phú an
2,khu cát linh - tôn đức thắng,,,,,,,,khu cát linh tôn đức thắng,khu cát linh tôn đức thắng,,,,khu cát linh tôn đức thắng
3,23 phố đặng trần côn,,,,,,,,23 phố đặng trần côn,23 phố đặng trần côn,,,,23 phố đặng trần côn
4,"trần quốc hoàn , cầu giấy",hà nội,thành phố,cầu giấy,quận,,,trần quốc hoàn, ,trần quốc hoàn cầu giấy,,,,trần quốc hoàn cầu giấy
5,"đường lê thị hà , ấp chánh 1 , tân xuân , hóc môn",hồ chí minh,thành phố,hóc môn,huyện,tân xuân,xã,lê thị hà, ấp chánh 1 ,đường lê thị hà ấp chánh 1 tân xuân hóc môn,,,,đường lê thị hà ấp chánh 1 tân xuân hóc môn
6,vinhomes gold river,,,,,,,,vinhomes gold river,vinhomes gold river,,,,vinhomes gold river
7,"p . tân hiệp , tx tân uyên , bình dương",bình dương,tỉnh,tân uyên,huyện,tân hiệp,phường,, ,p tân hiệp tx tân uyên,,,Bình Dương,"p tân hiệp tx tân uyên, Bình Dương"
8,"khu biệt thự tấn trường tại đường số 9 , quận 7 , phú thuận",hồ chí minh,thành phố,quận 7,quận,phú thuận,phường,số 9,khu biệt thự tấn trường tại ,khu biệt thự tấn trường tại đường số 9 quận 7 phú thuận,,,,khu biệt thự tấn trường tại đường số 9 quận 7 phú thuận
9,"số 9 , đường số 9 khu biệt thự tấn trường , p . phú thuận , quận 7 , tp hcm",hồ chí minh,thành phố,quận 7,quận,phú thuận,phường,số 9, khu biệt thự tấn trường ,số 9 đường số 9 khu biệt thự tấn trường p phú thuận quận 7 tp hcm,,,,số 9 đường số 9 khu biệt thự tấn trường p phú thuận quận 7 tp hcm
10,khu đô thị mễ trì thượng,,,,,,,,khu đô thị mễ trì thượng,khu đô thị mễ trì thượng,,,,khu đô thị mễ trì thượng
11,ngõ 11 mễ trì thượng,,,,,,,,ngõ 11 mễ trì thượng,ngõ 11 mễ trì thượng,,,,ngõ 11 mễ trì thượng
12,cc cao cấp kingston - phú nhuận,hồ chí minh,thành phố,phú nhuận,quận,,,,cc cao cấp kingston ,cc cao cấp kingston phú nhuận,,,,cc cao cấp kingston phú nhuận
13,cosmo city,,,,,,,,cosmo city,cosmo city,,,,cosmo city
14,quận 7,hồ chí minh,thành phố,quận 7,quận,,,,,quận 7,,,,quận 7
15,lavila nhà bè,hồ chí minh,thành phố,nhà bè,huyện,,,,lavila ,lavila nhà bè,,,,lavila nhà bè
16,"p110 - b1 , phố hoàng tích trí , quận đống đa , hn",hà nội,thành phố,đống đa,quận,,,hoàng tích trí,p110 b1 phố ,p110 b1 phố hoàng tích trí quận đống đa hn,,,,p110 b1 phố hoàng tích trí quận đống đa hn
17,"quận 9 , hcm",hồ chí minh,thành phố,quận 9,quận,,,, ,quận 9 hcm,,,,quận 9 hcm
18,227 đỗ xuân hợp,,,,,,,,227 đỗ xuân hợp,227 đỗ xuân hợp,,,,227 đỗ xuân hợp
19,mặt tiền đỗ xuân hợp,,,,,,,,mặt tiền đỗ xuân hợp,mặt tiền đỗ xuân hợp,,,,mặt tiền đỗ xuân hợp
20,dự án mizuki park nam long,,,,,,,,dự án mizuki park nam long,dự án mizuki park nam long,,,,dự án mizuki park nam long
21,khu đô thị mizuki park,,,,,,,,khu đô thị mizuki park,khu đô thị mizuki park,,,,khu đô thị mizuki park
22,"phan xích long , phường 7 , quận phú nhuận",hồ chí minh,thành phố,phú nhuận,quận,phường 7,phường,phan xích long, ,phan xích long phường 7 quận phú nhuận,,,,phan xích long phường 7 quận phú nhuận
23,vinhomes ba son,,,,,,,,vinhomes ba son,vinhomes ba son,,,,vinhomes ba son
24,"đường trần quang khải , phường tân định , quận 1",hồ chí minh,thành phố,quận 1,quận,tân định,phường,trần quang khải, ,đường trần quang khải phường tân định quận 1,,,,đường trần quang khải phường tân định quận 1
25,"mt trần quang khải , phường tân định , quận 1",hồ chí minh,thành phố,quận 1,quận,tân định,phường,trần quang khải,mt ,mt trần quang khải phường tân định quận 1,,,,mt trần quang khải phường tân định quận 1
26,"đường nguyễn phong sắc , cầu giấy",hà nội,thành phố,cầu giấy,quận,,,nguyễn phong sắc, ,đường nguyễn phong sắc cầu giấy,,,,đường nguyễn phong sắc cầu giấy
27,"ngân long , đường nguyễn hữu thọ , xã phước kiển , huyện nhà bè , tp . hcm",hồ chí minh,thành phố,nhà bè,huyện,phước kiển,xã,nguyễn hữu thọ,ngân long ,ngân long đường nguyễn hữu thọ xã phước kiển huyện nhà bè tp hcm,,,,ngân long đường nguyễn hữu thọ xã phước kiển huyện nhà bè tp hcm
28,"khu 90 nguyễn tuân , thanh xuân",hà nội,thành phố,thanh xuân,quận,,,nguyễn tuân,khu 90 ,khu 90 nguyễn tuân thanh xuân,,,,khu 90 nguyễn tuân thanh xuân
29,đường khu 90 vào,,,,,,,, khu 90 vào,đường khu 90 vào,,,,đường khu 90 vào
30,hẻm 666 / đường ba tháng hai,,,,,,,,hẻm 666 / ba tháng hai,hẻm 666 đường ba tháng hai,,,,hẻm 666 đường ba tháng hai
31,khu đô thị thành phố giao lưu,,,,,,,,khu đô thị giao lưu,khu đô thị thành phố giao lưu,,,,khu đô thị thành phố giao lưu
32,"vinhomes golden river ba son , q . 1",hồ chí minh,thành phố,quận 1,quận,,,,vinhomes golden river ba son ,vinhomes golden river ba son q 1,,,,vinhomes golden river ba son q 1
33,vinhomes golden river,,,,,,,,vinhomes golden river,vinhomes golden river,,,,vinhomes golden river
34,saigonres plaza đường nguyễn xí,,,,,,,,saigonres plaza nguyễn xí,saigonres plaza đường nguyễn xí,,,,saigonres plaza đường nguyễn xí
35,sunrise riverside,,,,,,,,sunrise riverside,sunrise riverside,,,,sunrise riverside
36,quận tây hồ,hà nội,thành phố,tây hồ,quận,,,, ,quận tây hồ,,,,quận tây hồ
37,"vinhomes hàm nghi , hà nội",hà nội,thành phố,,,,,,vinhomes hàm nghi ,vinhomes hàm nghi hà nội,,,,vinhomes hàm nghi hà nội
38,"khu cao lỗ ( đồng diều ) , p4 , q . 8",hồ chí minh,thành phố,quận 8,quận,phường 4,phường,cao lỗ,khu ( ) ,khu cao lỗ đồng diều p4 q 8,,,,khu cao lỗ đồng diều p4 q 8
39,"kdc bình hưng , bình chánh",hồ chí minh,thành phố,bình chánh,huyện,bình hưng,xã,,khu dân cư ,kdc bình hưng bình chánh,,,,kdc bình hưng bình chánh
40,"kdc trung sơn , bình chánh",hồ chí minh,thành phố,bình chánh,huyện,,,,khu dân cư trung sơn ,kdc trung sơn bình chánh,,,,kdc trung sơn bình chánh
41,"saigon pavillon , 53 - 55 bà huyện thanh quan , p . 6 , q . 3",hồ chí minh,thành phố,quận 3,quận,phường 6,phường,bà huyện thanh quan,saigon pavillon 53 55 ,saigon pavillon 53 55 bà huyện thanh quan p 6 q 3,,,,saigon pavillon 53 55 bà huyện thanh quan p 6 q 3
42,nhà a24 / d7 khu đtm cầu giấy,hà nội,thành phố,cầu giấy,quận,,,,nhà a24 / d7 khu đtm ,nhà a24 d7 khu đtm cầu giấy,,,,nhà a24 d7 khu đtm cầu giấy
43,"chung cư hacisco tầng 15 , số 15 ngõ 107 nguyễn chí thanh",,,,,,,,chung cư hacisco tầng 15 số 15 ngõ 107 nguyễn chí thanh,chung cư hacisco tầng 15 số 15 ngõ 107 nguyễn chí thanh,,,,chung cư hacisco tầng 15 số 15 ngõ 107 nguyễn chí thanh
44,"trang an complex , số 1 phùng chí kiên , q . cầu giấy , hà nội",hà nội,thành phố,cầu giấy,quận,,,phùng chí kiên,trang an complex số 1 ,trang an complex số 1 phùng chí kiên q cầu giấy hà nội,,,,trang an complex số 1 phùng chí kiên q cầu giấy hà nội
45,"marina tower quốc lộ 13 , thuận an , bình dương",bình dương,tỉnh,thuận an,thị xã,,,quốc lộ 13,marina tower ,marina tower quốc lộ 13 thuận an,,,Bình Dương,"marina tower quốc lộ 13 thuận an, Bình Dương"
46,"quận gò vấp , thuộc kdc city land park hills , phường 10 , gò vấp",hồ chí minh,thành phố,gò vấp,quận,phường 10,phường,, thuộc khu dân cư city land park hills ,quận gò vấp thuộc kdc city land park hills phường 10 gò vấp,,,,quận gò vấp thuộc kdc city land park hills phường 10 gò vấp
47,"105 đội cấn , ba đình , hà nội",hà nội,thành phố,ba đình,quận,đội cấn,phường,,105 ,105 đội cấn ba đình hà nội,,,,105 đội cấn ba đình hà nội
48,richmond city,,,,,,,,richmond city,richmond city,,,,richmond city
49,geleximco lê trọng tấn,,,,,,,,geleximco lê trọng tấn,geleximco lê trọng tấn,,,,geleximco lê trọng tấn
50,chung cư intracom riverside - đông anh hà nội ( chân cầu nhật tân ),,,,,,,,chung cư intracom riverside đông anh hà nội ( chân cầu nhật tân ),chung cư intracom riverside đông anh hà nội chân cầu nhật tân,,,,chung cư intracom riverside đông anh hà nội chân cầu nhật tân
51,midtown - phú mỹ hưng - q7,hồ chí minh,thành phố,quận 7,quận,phú mỹ,phường,,midtown hưng ,midtown phú mỹ hưng q7,,,,midtown phú mỹ hưng q7
52,"số 245 gò dầu , p . tân quý , tân phú",hồ chí minh,thành phố,tân phú,quận,tân quý,phường,gò dầu,số 245 ,số 245 gò dầu p tân quý tân phú,,,,số 245 gò dầu p tân quý tân phú
53,chung cư sơn an,,,,,,,,chung cư sơn an,chung cư sơn an,,,,chung cư sơn an
54,chung cư sơn an plaza biên hòa,đồng nai,tỉnh,biên hòa,thành phố,,,,chung cư sơn an plaza ,chung cư sơn an plaza biên hòa,,,,chung cư sơn an plaza biên hòa
55,"50 / 6 đường thành thái , phường 12 , quận 10 , tp . hồ chí minh",hồ chí minh,thành phố,quận 10,quận,phường 12,phường,thành thái,50 / 6 ,50 6 đường thành thái phường 12 0 tp,, Quận 1,Hồ Chí Minh,"50 6 đường thành thái phường 12 0 tp,  Quận 1, Hồ Chí Minh"
56,the art,,,,,,,,the art,the art,,,,the art
57,dự án gia hòa the art,,,,,,,,dự án gia hòa the art,dự án gia hòa the art,,,,dự án gia hòa the art
58,q . bình thạnh giáp q . 1,hồ chí minh,thành phố,quận 1,quận,,,, bình thạnh giáp ,q bình thạnh giáp q 1,,,,q bình thạnh giáp q 1
59,"28 / 19 phú mỹ , p . 22 , q . bình thạnh , tp . hcm",hồ chí minh,thành phố,bình thạnh,quận,phường 22,phường,phú mỹ,28 / 19 ,28 19 phú mỹ p 22 q bình thạnh tp hcm,,,,28 19 phú mỹ p 22 q bình thạnh tp hcm
60,số 47 nguyễn xiển,,,,,,,,số 47 nguyễn xiển,số 47 nguyễn xiển,,,,số 47 nguyễn xiển
61,mặt đường nguyễn xiển tòa,,,,,,,, nguyễn xiển tòa,mặt đường nguyễn xiển tòa,,,,mặt đường nguyễn xiển tòa
62,river gate - bến vân đồn - quận 4,hồ chí minh,thành phố,quận 4,quận,,,bến vân đồn,river gate ,river gate bến vân đồn quận 4,,,,river gate bến vân đồn quận 4
63,"tòa a tầng 20 , chung cư n04 trần duy hưng - udic complex",,,,,,,,tòa a tầng 20 chung cư n04 trần duy hưng udic complex,tòa a tầng 20 chung cư n04 trần duy hưng udic complex,,,,tòa a tầng 20 chung cư n04 trần duy hưng udic complex
64,"saigonres plaza 188 nguyễn xí , p . 26 , bình thạnh",hồ chí minh,thành phố,bình thạnh,quận,phường 26,phường,nguyễn xí,saigonres plaza 188 ,saigonres plaza 188 nguyễn xí p 26 bình thạnh,,,,saigonres plaza 188 nguyễn xí p 26 bình thạnh
65,"chung cư sơn an plaza , biên hòa",đồng nai,tỉnh,biên hòa,thành phố,,,,chung cư sơn an plaza ,chung cư sơn an plaza biên hòa,,,,chung cư sơn an plaza biên hòa
66,"saigonres , nguyễn xí , bình thạnh",hồ chí minh,thành phố,bình thạnh,quận,,,nguyễn xí,saigonres ,saigonres nguyễn xí bình thạnh,,,,saigonres nguyễn xí bình thạnh
67,silver star,,,,,,,,silver star,silver star,,,,silver star
68,vinhomes dcapitable,,,,,,,,vinhomes dcapitable,vinhomes dcapitable,,,,vinhomes dcapitable
69,đường phạm hùng,,,,,,,, phạm hùng,đường phạm hùng,,,,đường phạm hùng
70,"the prince , phú nhuận",hồ chí minh,thành phố,phú nhuận,quận,,,,the prince ,the prince phú nhuận,,,,the prince phú nhuận
71,căn hộ vinhomes,,,,,,,,căn hộ vinhomes,căn hộ vinhomes,,,,căn hộ vinhomes
72,tòa central 2,,,,,,,,tòa central 2,tòa central 2,,,,tòa central 2
73,"2 / 4 / 2 đường đông hưng thuận 10b , kp 5 , phường đông hưng thuận , quận 12 , tphcm",hồ chí minh,thành phố,quận 12,quận,đông hưng thuận,phường,,2 / 4 / 2 10b k 5 ,2 4 2 đường đông hưng thuận 10b kp 5 phường đông hưng thuận quận 12 tphcm,,,,2 4 2 đường đông hưng thuận 10b kp 5 phường đông hưng thuận quận 12 tphcm
74,"chung cư hh 1b nguyễn văn cừ , long biên hà nội",hà nội,thành phố,long biên,quận,,,nguyễn văn cừ,chung cư hh 1b ,chung cư hh 1b nguyễn văn cừ long biên hà nội,,,,chung cư hh 1b nguyễn văn cừ long biên hà nội
75,q1,hồ chí minh,thành phố,quận 1,quận,,,,,q1,,,,q1
76,98 phía sau lê thánh tôn p . bến thành quận 1,hồ chí minh,thành phố,quận 1,quận,bến thành,phường,lê thánh tôn,98 phía sau ,98 phía sau lê thánh tôn p bến thành quận 1,,,,98 phía sau lê thánh tôn p bến thành quận 1
77,"27a nguyễn trung trực , p . bên thành , q . 1",hồ chí minh,thành phố,quận 1,quận,,,nguyễn trung trực,27a bên thành ,27a nguyễn trung trực p bên thành q 1,,,,27a nguyễn trung trực p bên thành q 1
78,mặt tiền đường dương tử giang,,,,,,,,mặt tiền dương tử giang,mặt tiền đường dương tử giang,,,,mặt tiền đường dương tử giang
79,chung cư tòa ct 1 sudico,,,,,,,,chung cư tòa ct 1 sudico,chung cư tòa ct 1 sudico,,,,chung cư tòa ct 1 sudico
80,"trần duy hưng , cầu giấy",hà nội,thành phố,cầu giấy,quận,,,trần duy hưng, ,trần duy hưng cầu giấy,,,,trần duy hưng cầu giấy
81,everrich infinity,,,,,,,,everrich infinity,everrich infinity,,,,everrich infinity
82,"kdc trí kiệt - khang điền , p . plb , quận 9",hồ chí minh,thành phố,quận 9,quận,,,,khu dân cư trí kiệt khang điền plb ,kdc trí kiệt khang điền p plb quận 9,,,,kdc trí kiệt khang điền p plb quận 9
83,"đường số 4 , p . hiệp bình chánh , q . thủ đức , tp hồ chí minh",hồ chí minh,thành phố,thủ đức,quận,hiệp bình chánh,phường,số 4, ,đường số 4 p hiệp bình chánh q thủ đức tp,,,Hồ Chí Minh,"đường số 4 p hiệp bình chánh q thủ đức tp, Hồ Chí Minh"
84,"đường nguyễn cửu vân , p17 , q . bình thạnh",hồ chí minh,thành phố,bình thạnh,quận,phường 17,phường,nguyễn cửu vân, ,đường nguyễn cửu vân p17 q bình thạnh,,,,đường nguyễn cửu vân p17 q bình thạnh
85,t1 . 18.06,,,,,,,,t1 . 18.06,t1 18 06,,,,t1 18 06
86,tòa vip park 8 - times city,,,,,,,,tòa vip park 8 times city,tòa vip park 8 times city,,,,tòa vip park 8 times city
87,"an gia riverside mặt tiền đường đào trí , quận 7",hồ chí minh,thành phố,quận 7,quận,,,đào trí,an gia riverside mặt tiền ,an gia riverside mặt tiền đường đào trí quận 7,,,,an gia riverside mặt tiền đường đào trí quận 7
88,chung cư 5a mặt đường lê đức thọ,hà tĩnh,tỉnh,đức thọ,huyện,,,,chung cư 5a lê ,chung cư 5a mặt đường lê đức thọ,,,,chung cư 5a mặt đường lê đức thọ
89,"quận 2 , palm heights",,,,,,,, 2 palm heights,quận 2 palm heights,,,,quận 2 palm heights
90,palm heights - quận 2,hồ chí minh,thành phố,quận 2,quận,,,,palm heights ,palm heights quận 2,,,,palm heights quận 2
91,hẻm 611 đường điện biên phủ - p1 - q3,hồ chí minh,thành phố,quận 3,quận,phường 1,phường,điện biên phủ,hẻm 611 ,hẻm 611 đường  phủ p1 q3,,,Điện Biên,"hẻm 611 đường  phủ p1 q3, Điện Biên"
92,mt tô hiến thành q . 100915924567 .,,,,,,,,mt tô hiến thành 100915924567 .,mt tô hiến thành q 100915924567,,,,mt tô hiến thành q 100915924567
93,"tô hiến thành , q . 10",hồ chí minh,thành phố,quận 10,quận,,,tô hiến thành, ,tô hiến thành q 10,,,,tô hiến thành q 10
94,"mặt phố trung hòa , cầu giấy , hà nội",hà nội,thành phố,cầu giấy,quận,trung hòa,phường,,mặt phố ,mặt phố trung hòa cầu giấy hà nội,,,,mặt phố trung hòa cầu giấy hà nội
95,nội thất tòa lideco hạ long,quảng ninh,tỉnh,hạ long,thành phố,,,,nội thất tòa lideco ,nội thất tòa lideco hạ long,,,,nội thất tòa lideco hạ long
96,feliz en vista,,,,,,,,feliz en vista,feliz en vista,,,,feliz en vista
97,"75 hồ hảo hớn , phường cô giang , q1",hồ chí minh,thành phố,quận 1,quận,cô giang,phường,hồ hảo hớn,75 ,75 hồ hảo hớn phường cô giang q1,,,,75 hồ hảo hớn phường cô giang q1
98,"104 phổ quang , phường 2 , quận tân bình",hồ chí minh,thành phố,tân bình,quận,phường 2,phường,phổ quang,104 ,104 phổ quang phường 2 quận tân bình,,,,104 phổ quang phường 2 quận tân bình
99,chung cư the legend,,,,,,,,chung cư the legend,chung cư the legend,,,,chung cư the legend
100,"đặng thúc vịnh , hóc môn",hồ chí minh,thành phố,hóc môn,huyện,,,đặng thúc vịnh, ,đặng thúc vịnh hóc môn,,,,đặng thúc vịnh hóc môn
101,"chung cư k26 đường dương quảng hàm , phường 7 , quận gò vấp tphcm",,,,,,,,,chung cư k26 đường dương quảng hàm phường 7 quận gò vấp tphcm,,,,chung cư k26 đường dương quảng hàm phường 7 quận gò vấp tphcm
102,chung cư k26,,,,,,,,,chung cư k26,,,,chung cư k26
103,"địa chỉ : 50 đường 42 , phường bình trưng tây quận 2",,,,,,,,,địa chỉ 50 đường 42 phường bình trưng tây quận 2,,,,địa chỉ 50 đường 42 phường bình trưng tây quận 2
104,89 thịnh liệt hoàng mai,,,,,,,,,89 thịnh liệt hoàng mai,,,,89 thịnh liệt hoàng mai
105,"mt 23 trương định , q3",,,,,,,,,mt 23 trương định q3,,,,mt 23 trương định q3
106,terra royal,,,,,,,,,terra royal,,,,terra royal
107,chung cư 18t2 hoàng đạo thúy,,,,,,,,,chung cư 18t2 hoàng đạo thúy,,,,chung cư 18t2 hoàng đạo thúy
108,mặt hồ đắc di,,,,,,,,,mặt hồ đắc di,,,,mặt hồ đắc di
109,ngõ 82 chùa láng,,,,,,,,,ngõ 82 chùa láng,,,,ngõ 82 chùa láng
110,phố hoàng ngọc phách,,,,,,,,,phố hoàng ngọc phách,,,,phố hoàng ngọc phách
111,"lý nam đế , hoàn kiếm , hà nội",,,,,,,,,lý nam đế hoàn kiếm hà nội,,,,lý nam đế hoàn kiếm hà nội
112,đường nguyễn trọng tuyển,,,,,,,,,đường nguyễn trọng tuyển,,,,đường nguyễn trọng tuyển
113,chung cư gelexia địa chỉ 885 tam trinh hoàng mai hn,,,,,,,,,chung cư gelexia địa chỉ 885 tam trinh hoàng mai hn,,,,chung cư gelexia địa chỉ 885 tam trinh hoàng mai hn
114,gelexia,,,,,,,,,gelexia,,,,gelexia
115,"mặt phố 42 tô hiến thành , q . hai bà trưng , hà nội",,,,,,,,,mặt phố 42 tô hiến thành q hai bà trưng hà nội,,,,mặt phố 42 tô hiến thành q hai bà trưng hà nội
116,tòa d chung cư imperia garden 203 nguyễn huy tưởng,,,,,,,,,tòa d chung cư imperia garden 203 nguyễn huy tưởng,,,,tòa d chung cư imperia garden 203 nguyễn huy tưởng
117,the sun avenue,,,,,,,,,the sun avenue,,,,the sun avenue
118,quận 2,,,,,,,,,quận 2,,,,quận 2
119,89 thịnh liệt,,,,,,,,,89 thịnh liệt,,,,89 thịnh liệt
120,vinhomes gardenia,,,,,,,,,vinhomes gardenia,,,,vinhomes gardenia
121,khu đô thị mới nam cần thơ,,,,,,,,,khu đô thị mới nam,,,Cần Thơ,"khu đô thị mới nam, Cần Thơ"
122,"số 74 - 75 đường mai chí thọ , phường phú thứ , cái răng , cần thơ",,,,,,,,,số 74 75 đường mai chí thọ phường phú thứ cái răng,,,Cần Thơ,"số 74 75 đường mai chí thọ phường phú thứ cái răng, Cần Thơ"
