Order date,SUBSIDIARY_CD,GLOBAL_NO,CLASSIFY_CD,CUST_CD,BRAND_CD,INNER_CD,SUPPLIER_CD,Sales order line number,Stock class,Consider count hodiday Saturday,SO QTY,OTHER AREA SHIP DIV,ALLOCATION QTY,SUPPLIER INV AMOUNT,PACKING RANK,PRODUCT_CD,PRODUCT ATTRIBUTION,SPECIAL DIV,LOGICAL PLANT,PURCHASE AMOUNT,VSD,DIRECT SHIP FLG,DELI_DIV,label,Ship Mode,SHIP DECISION NO,PACK QTY,WEIGHT PER PIECE,SUPPLIER_DIV,HEAVY_FLG,EXPENSIVE_FLG,SPECIAL_DIV,ACTUAL_SHIP_DAYS,SPECIFY_PRODUCTION_DAYS,SPECIFY_SHIP_DAYS,HAZARD_FLG,SO_DAY_OF_MONTH,SO_DAY_OF_WEEK,IO_UNFIT_FLG,WEIGHT_UNIT,REASON_CD,SOUF_RCV_NO,QTUF_RCV_NO,SO_TIME,SUPPLIER_CATEGORY_CD,PRODUCT_ASSORT
2022-04-04 00:00:00,MJP,01000074430653,21034701,000074,HAK1,F7371210001,8107,1,1,4,1, ,1,8700,A,E-PD-2-50M,1,0,55,8700,2022-04-13 00:00:00,0,00,1,S,232780,0,12,3.0,0,0,0,6,-1,-1,0,4,1,0,g,401,805169,,120324,05, 
2022-04-26 00:00:00,MJP,05004180038393,23028764,004180,S3M1,K9045010089,8484,1,1,1,10, ,10,15350,Z,23-19,1,0,53,15350,2022-06-10 00:00:00,0,00,1,B,380002,0,200,3.0,0,0,0,25,-1,-1,0,26,2,0,g,455,,,171618,05, 
2022-04-19 00:00:00,MJP,01000074434232,21059031,000074,THT1,F5109250104,8233,1,1,4,1, ,1,900,A,JA-104,1,0,53,900,2022-05-07 00:00:00,0,00,1,S,318301,20,5,2.0,0,0,0,5,-1,-1,0,19,2,0,g,451,864727,,184619,05, 
2022-04-22 00:00:00,MJP,01000074434911,03731227,000074,MSM1,79014275005,3013,1,1,0,1, ,1,1551,A,LAFSD-AS-T5-A75-B30-L30-P10-V10-S15-N6-X15-H55-NA12-CC3,1,0,53,1551,2022-04-27 00:00:00,0,00,1,Q,124011,0,43,1.0,0,0,0,3,-1,-1,0,22,5,0,g,410,,,093246,05, 
2022-04-22 00:00:00,MJP,01000074435036,03954111,000074,MSM1,30357450001,3081,1,1,0,2, ,2,376,A,NFSL6-3030-355,1,0,53,376,2022-04-27 00:00:00,0,00,1,B,124051,0,270,1.0,0,0,0,1,-1,-1,0,22,5,0,g,410,,,153401,05, 
2022-06-15 00:00:00,MJP,01000074445747,21059570,000074,HSK1,F5157038275,8385,1,1,4,50, ,50,400,A,UMW-0410-08,1,0,53,400,2022-06-29 00:00:00,0,00,1,S,086995,0,2,3.0,0,0,0,8,-1,-1,0,15,3,0,g,401,049341,,154942,05, 
2022-04-13 00:00:00,MJP,01000075378643,21039402,000075,IKE1,F7237710025,8222,1,1,4,10, ,10,17800,B,1/4MSSXP050S303,1,0,53,17800,2022-04-22 00:00:00,0,00,1,H,106832,0,100,2.0,0,0,0,6,-1,-1,0,13,3,0,g,453,,,172415,05, 
2022-04-14 00:00:00,MJP,01000075378711,23027511,000075,KJI1,K9005540345,8484,1,1,4,1, ,1,11200,B,TAL20,1,0,53,11200,2022-06-20 00:00:00,0,00,1,P,604567,1,600,3.0,0,0,0,2,-1,-1,0,14,4,0,g,455,,,104257,05, 
2022-04-15 00:00:00,MJP,01000075379084,23027552,000075,TRC1,K9010570052,8484,1,1,4,2, ,2,26208,B,TSL3-B,1,0,53,26208,2022-04-18 00:00:00,1,40,1,S,469919,0,11000,3.0,0,0,0,1,-1,-1,0,15,5,0,g,401,,,165444,05, 
2022-05-10 00:00:00,MJP,01000075381585,23020401,000075,NGS1,K8112361099,8415,1,1,4,2, ,2,14948,B,GB1-340-KOUSEI,1,0,53,14948,2022-07-30 00:00:00,0,00,1,B,,0,100,2.0,0,0,0,57,-1,-1,0,10,2,0,g,108,916762,,155544,05, 
